tick,sensory_map_0,sensory_map_1,sensory_map_2,sensory_map_3,sensory_map_4,sensory_map_5,sensory_map_6,sensory_map_7,sensory_map_8,sensory_map_9,sensory_map_10,sensory_map_11,sensory_map_12,sensory_map_13,sensory_map_14,sensory_map_15,sensory_map_16,sensory_map_17,sensory_map_18,sensory_map_19,sensory_map_20,sensory_map_21,sensory_map_22,sensory_map_23,sensory_map_24,sensory_map_25,sensory_map_26,sensory_map_27,sensory_map_28,sensory_map_29,channel
10,-2.7421039577822643e-12,-4.668113708559046e-14,-1.0604160164776326e-15,-3.9067604930648254e-17,-3.246687747183472e-18,-3.3540974041942457e-18,-4.3746051083304925e-17,-1.2504216474993281e-15,-5.674246568461286e-14,-3.3796632030740992e-12,-2.1879517912778656e-10,-1.2843795422969633e-08,-5.788502514181e-07,-1.7275627217451083e-05,-0.0002998341162805523,-0.002696650139926574,-0.011306062003679075,-0.019935232134587734,-0.017228229499707766,-0.03466211395631337,-0.06633108408988789,-0.0557349407520566,-0.0300892885934075,-0.011759721088712323,-0.0025376738137311105,-0.00027158584359371834,-1.5166062238560356e-05,-4.922963059153797e-07,-1.0626353983350298e-08,-1.7794651286698803e-10,objects
11,-1.3961441962760798e-10,-2.1518342466052323e-12,-3.7292676992663015e-14,-8.788379801955219e-16,-3.446094031397683e-17,-3.259970791920208e-18,-4.509895410113871e-18,-6.744904656512234e-17,-2.0822694283055543e-15,-9.928659483299161e-14,-6.048519917421924e-12,-3.898081395644206e-10,-2.2215862139665953e-08,-9.520039698465739e-07,-2.660835813564866e-05,-0.0004281476545173337,-0.0035329802403089214,-0.013130902233021399,-0.016587111988567618,0.0008941660369934332,-0.025467264091584136,-0.09469624055951442,-0.08437564528523553,-0.03827472224813331,-0.012305717571863726,-0.002400761927531655,-0.00024249076640745943,-1.2940274987160367e-05,-4.0416249718921604e-07,-8.47221037624942e-09,objects
12,-6.6187105179235025e-09,-1.0758252113087036e-10,-1.661920901323835e-12,-2.938396194916838e-14,-7.210643675937027e-16,-3.032542334485406e-17,-3.2818810668240613e-18,-5.876694446501162e-18,-9.868750354992826e-17,-3.2602619250899257e-15,-1.623186589093702e-13,-1.0064179313892651e-11,-6.432746844919869e-10,-3.551232837140477e-08,-1.4466638671238586e-06,-3.797730690477938e-05,-0.0005706421076852745,-0.004371901710837934,-0.014589768150528454,-0.01149100433839934,0.02349266577051017,-0.009145065774533426,-0.11858920288089146,-0.11401642357844248,-0.04753401886840423,-0.012932147026651039,-0.00224621611586783,-0.00021208703717669945,-1.078774140914475e-05,-3.2444509227921367e-07,objects
13,-2.5048001269190315e-07,-4.973146992782149e-09,-7.986724422044353e-11,-1.2401052206032137e-12,-2.2472709226582946e-14,-5.791133525033834e-16,-2.6459318570758635e-17,-3.289124212552731e-18,-7.404139194028841e-18,-1.3756322131261642e-16,-4.833811741816465e-15,-2.501486573375237e-13,-1.5723396607724175e-11,-9.935245402238864e-10,-5.300822640914124e-08,-2.05095309754908e-06,-5.0643649230013225e-05,-0.0007142480803456116,-0.005126493278980182,-0.015499995540482196,-0.005129974068541691,0.04733150635819254,0.011554728761498247,-0.13385674649906873,-0.14065321746431034,-0.0571984121831614,-0.013659928775831753,-0.0020812533590177287,-0.0001805022586674256,-8.67484979207434e-06,objects
14,-6.681718765993534e-06,-1.8393305071920012e-07,-3.5465361290752927e-09,-5.6340646608712856e-11,-8.829362911531847e-13,-1.6529888931290658e-14,-4.532199960400948e-16,-2.282111612807326e-17,-3.2558931937499546e-18,-9.039161233842469e-18,-1.842507882269907e-16,-6.861609989648372e-15,-3.678212181343217e-13,-2.3360709123467382e-11,-1.4551803624590153e-09,-7.487219682580381e-08,-2.7474097193555505e-06,-6.380570138288506e-05,-0.0008466686411723617,-0.005719504859448656,-0.015655172783893112,0.0023908122157585052,0.06978374752505466,0.03187179763095101,-0.13967828359333892,-0.1597328229809401,-0.06545828701106453,-0.014300150824807376,-0.0019090544845835195,-0.0001492127167438261,objects
15,-0.00011959115903289906,-4.919945852194171e-06,-1.279462818639226e-07,-2.3871845956869407e-09,-3.755514880443213e-11,-5.973825968630897e-13,-1.167768849006277e-14,-3.456733299652543e-16,-1.9362865501061244e-17,-3.1517699873897045e-18,-1.0741687497796354e-17,-2.3932396198303814e-16,-9.422339257012525e-15,-5.215953937860976e-13,-3.3372671639019183e-11,-2.0445569420958017e-09,-1.0126911644012661e-07,-3.5190449378671025e-06,-7.677761331127817e-05,-0.0009584712726174466,-0.0060921985029359855,-0.01485334116848855,0.011283233064600131,0.08961770001380415,0.047676669225374245,-0.13848379582262044,-0.16844800615278516,-0.07006635462847524,-0.0144514402648411,-0.0017155132972805033,objects
16,-0.0014672347077627733,-9.147273891961611e-05,-3.4314851763071753e-06,-8.369340314212255e-08,-1.5062201630204844e-09,-2.350608790815601e-11,-3.8204922873624394e-13,-7.883432870548743e-15,-2.547561305421986e-16,-1.5891957049224738e-17,-2.948675541086595e-18,-1.2562990070134302e-17,-3.0572697358306736e-16,-1.269851688673114e-14,-7.237445259893072e-13,-4.6520655035561194e-11,-2.7974500759722996e-09,-1.3320898108518848e-07,-4.3780179590795e-06,-8.957053176974418e-05,-0.0010490140975783083,-0.0062303840720386245,-0.012953851483805527,0.021851232645815472,0.10644347170864528,0.05623418892376376,-0.13422221406819465,-0.16640979770787012,-0.0692073157218309,-0.013635968858299968,objects
17,-0.011742048896986304,-0.0011572349200687573,-6.50918353927261e-05,-2.228813787700178e-06,-5.0889187383022975e-08,-8.831470810584404e-10,-1.3713890195632511e-11,-2.2925369189956357e-13,-5.036173515917134e-15,-1.78664848735318e-16,-1.2370748698631694e-17,-2.654248038886198e-18,-1.4634277133775673e-17,-3.8885256414939133e-16,-1.6999457205128836e-14,-9.944531397224346e-13,-6.404451580353277e-11,-3.7731771472119194e-09,-1.7254730949731914e-07,-5.3587021896554665e-06,-0.0001026119581023465,-0.0011219805908093306,-0.006137607239582409,-0.009848974439844699,0.034300081626348275,0.12025667318082213,0.05703246122578599,-0.12965137174672375,-0.15549524374902346,-0.06283307703993589,objects
18,-0.05246943839993928,-0.009130901422976984,-0.0008234169980807258,-4.204842966139451e-05,-1.3204819433516908e-06,-2.8302425721896175e-08,-4.750210628264352e-10,-7.373325507472029e-12,-1.2757932622059454e-13,-3.003127224073315e-15,-1.17362790766088e-16,-9.006957912827786e-18,-2.3142798247356783e-18,-1.7147620234100173e-17,-4.967129463104503e-16,-2.2794427016425114e-14,-1.364435918355619e-12,-8.780882326441549e-11,-5.0588670731254485e-09,-2.2192598096511459e-07,-6.508002747133848e-06,-0.0001164238099133049,-0.0011806766366511674,-0.005806663236888823,-0.0054186354911798275,0.048631278140715356,0.13088038932515492,0.05092194600891042,-0.12535333856986686,-0.13820501396168278,objects
19,-0.11685557878261446,-0.040297183033691196,-0.0063839946000535065,-0.0005223688727079581,-2.4248775421681145e-05,-7.014171458081131e-07,-1.4176916995257054e-08,-2.3125079260688822e-10,-3.609092478369959e-12,-6.507669690670294e-14,-1.6527518753576594e-15,-7.153842811083733e-17,-6.10216070055494e-18,-1.993203832588048e-18,-2.0431746742935578e-17,-6.433628367257445e-16,-3.090991746744219e-14,-1.8876794669466697e-12,-1.210706523501848e-10,-6.805966437928761e-09,-2.8596658810739655e-07,-7.909412051030068e-06,-0.0001318801769379836,-0.0012288808468632474,-0.005215686475334766,0.00048168825446624677,0.06462158620207141,0.1377543167707666,0.03910606643400805,-0.12057424144590355,objects
20,-0.11397686863573632,-0.09367391287112606,-0.028467264629025414,-0.004018026797158225,-0.00029523522124765645,-1.2439576398889377e-05,-3.324262322977388e-07,-6.366433049615556e-09,-1.0151960769398645e-10,-1.6041135752686458e-12,-3.038421488782783e-14,-8.399249101895278e-16,-4.0604776676191256e-17,-3.864015603335974e-18,-1.7518698416261503e-18,-2.5041984167882057e-17,-8.539585800477468e-16,-4.28485439564641e-14,-2.6624627626149215e-12,-1.6970413560904472e-10,-9.283115968750147e-09,-3.726916631502465e-07,-9.701912360831616e-06,-0.00015022546310984117,-0.0012684118700230225,-0.004308735872152029,0.008037533210015279,0.08177351570125115,0.14003569645661487,0.023123015036595383,objects
21,0.005010620850553216,-0.10426783355279787,-0.07075744704044624,-0.018492910499341517,-0.002286319234572387,-0.0001496079107317899,-5.71369617633772e-06,-1.4144709035126876e-07,-2.579520594384414e-09,-4.04716672745427e-11,-6.525693176262336e-13,-1.3106774289050745e-14,-3.9860865321419175e-16,-2.1724069307001027e-17,-2.301328450752096e-18,-1.6318308268020131e-18,-3.1852061007521723e-17,-1.1713429054898318e-15,-6.124008135158916e-14,-3.861218026162719e-12,-2.4383060536171267e-10,-1.2936110319357619e-08,-4.946310044113822e-07,-1.2080033078450884e-05,-0.00017271152433330093,-0.001293099060749552,-0.0029646590227215795,0.01748806777125763,0.09927415835887031,0.1368352369971077,objects
22,0.12751828164936396,-0.012808934633382956,-0.09102950603073524,-0.050075798872869434,-0.01106417701719485,-0.001185697039361007,-6.882620519438558e-05,-2.384278162885514e-06,-5.487596688578627e-08,-9.58210570913161e-10,-1.489713803563011e-11,-2.4723932439523386e-13,-5.320095289038766e-15,-1.8004320265269658e-16,-1.1133901936985855e-17,-1.2888829259601258e-18,-1.6708086277941673e-18,-4.2423004692617515e-17,-1.6749167461772765e-15,-9.103069835744986e-14,-5.807379731982015e-12,-3.620645717379285e-10,-1.855682529213768e-08,-6.730000047051533e-07,-1.5350320439193948e-05,-0.00020088761157488943,-0.0012877065100601233,-0.0009959491669824451,0.02904852597719763,0.11593657776318138,objects
23,0.1296074670550101,0.10702666960254298,-0.03483248784684394,-0.0780568929828629,-0.03335264322250447,-0.006070686547157668,-0.0005584665198642106,-2.8794070387500237e-05,-9.102012656111841e-07,-1.961642193137098e-08,-3.304087525673214e-10,-5.129521750717601e-12,-8.837090639795981e-14,-2.0580832832207754e-15,-7.848351946801117e-17,-5.552142205256435e-18,-7.163352605252251e-19,-2.3502689941807016e-18,-6.976553962903836e-17,-2.937976162093702e-15,-1.6595360585806316e-13,-1.0679718550902087e-11,-6.527473815342674e-10,-3.198096255202421e-08,-1.0864063282469905e-06,-2.2847623447008662e-05,-0.00026961634117318137,-0.0014209907154125268,0.001403548569891614,0.04276243194085394,objects
24,0.05880628709431189,0.13712428943073243,0.0780051183846465,-0.05108501189330627,-0.06156583359935288,-0.020347278258029417,-0.003059712653066495,-0.00024425362656564794,-1.1304224371505523e-05,-3.28412482323802e-07,-6.6648714619706385e-09,-1.08936181492775e-10,-1.7008596126068823e-12,-3.067316210419576e-14,-7.806755823890148e-16,-3.3848407204086954e-17,-2.7183695794872888e-18,-4.2313079695208274e-19,-3.927707489886445e-18,-1.2675518492697583e-16,-5.670249612511478e-15,-3.3171918651467694e-13,-2.142894701815356e-11,-1.2760091028851437e-09,-5.9346186417751297e-08,-1.875413673380978e-06,-3.611087845349122e-05,-0.0003792213402918464,-0.001546224235569319,0.005099985940366823,objects
25,0.010844028144881567,0.0761011273170779,0.136477584756456,0.047532658616044096,-0.05536258506793774,-0.0435426371044449,-0.011390420271767804,-0.001449022235448578,-0.00010231167480863493,-4.288587083279325e-06,-1.1490386292509758e-07,-2.2033068100956138e-09,-3.51382195036165e-11,-5.559560823539383e-13,-1.0590791605079703e-14,-2.973017206276364e-16,-1.4695295669826497e-17,-1.2901185736035686e-18,-3.064876241321869e-19,-6.76649523895136e-18,-2.3299309788590666e-16,-1.1034597230083048e-14,-6.651176351118671e-13,-4.2907030032010166e-11,-2.4778303838739936e-09,-1.0901602968498174e-07,-3.196654650851894e-06,-5.61100989267519e-05,-0.0005154502424537041,-0.0014211360680307242,objects
26,-0.0008318964782918864,0.01894286743777857,0.09276058238584252,0.12738274174921788,0.02140070336162522,-0.04962390511080348,-0.027942899328854586,-0.005976125314288737,-0.0006616924685216848,-4.1928657097120174e-05,-1.5970602369845164e-06,-3.9514616024606694e-08,-7.186120141129852e-10,-1.125559443177747e-11,-1.8201152910305282e-13,-3.697198179990375e-15,-1.1535171394166204e-16,-6.454498381596694e-18,-5.636230996921127e-19,-3.382847398720242e-19,-1.1845994127335633e-17,-4.331350908737503e-16,-2.1633404618325158e-14,-1.3364665840652114e-12,-8.566191665406962e-11,-4.7768971734490416e-09,-1.981583297623857e-07,-5.375547819260926e-06,-8.543172459969969e-05,-0.0006690231601593567,objects
27,-0.0008148530974256926,0.0004928623138000204,0.02938691968081487,0.10669182637505462,0.11190797683605097,0.003678512695619963,-0.03854129887689198,-0.016610576849272213,-0.0030189078575250665,-0.0002980072079451696,-1.7039914415297605e-05,-5.893621170263688e-07,-1.3488412175374258e-08,-2.3388814412071824e-10,-3.626357794829252e-12,-6.048753215775128e-14,-1.3221086874296038e-15,-4.60418855187986e-17,-2.8430636810061616e-18,-1.8661078129020715e-19,-5.351469876142559e-19,-2.0978720237794007e-17,-8.139379776935381e-16,-4.2687492277332965e-14,-2.6887012647668783e-12,-1.7038647684264574e-10,-9.137185029720014e-09,-3.561910940934124e-07,-8.904393570148322e-06,-0.0001268719655417547,objects
28,-0.00018648998283491477,-0.0009270726578367208,0.0028025119180000117,0.04172898565815732,0.11598531497918932,0.0928831469967669,-0.005606783793818844,-0.02690148040470198,-0.009388467831153565,-0.0015045626214954598,-0.0001342148487342078,-6.918493333884438e-06,-2.1717992211873692e-07,-4.615845729445146e-09,-7.686186999809464e-11,-1.1900242025884269e-12,-2.0661598077248914e-14,-4.896051707966118e-16,-1.8990985106410076e-17,-1.2163914487944559e-18,6.471882018818577e-21,-1.0100348581482137e-18,-3.849545923122544e-17,-1.5823586027981285e-15,-8.675333623050709e-14,-5.5422871046533624e-12,-3.454714782133654e-10,-1.7731187173925618e-08,-6.465977798383601e-07,-1.4803966434295598e-05,objects
29,-2.539734639409331e-05,-0.0002778517556791853,-0.0009817038394120993,0.006306802675593532,0.0549890310844502,0.11893572986144162,0.07282887189127417,-0.008643224875809232,-0.017342818003213297,-0.005176101035191348,-0.0007533294230193749,-6.091172569356496e-05,-2.8219498386885533e-06,-8.053037781768835e-08,-1.5990670804212495e-09,-2.578242718491712e-11,-4.021960428435255e-13,-7.330014242659275e-15,-1.8924159803163545e-16,-8.07860629051581e-18,-4.625354267603284e-19,8.151588662086485e-20,-2.0985165434801712e-18,-7.581597286388788e-17,-3.2952338710695808e-15,-1.880368641313442e-13,-1.2119594173491457e-11,-7.387730595251413e-10,-3.60716244563496e-08,-1.222461956146315e-06,objects
30,-2.395904743677497e-06,-4.467940815269082e-05,-0.00041629282885669787,-0.0009068342163065308,0.011152040289165015,0.06761360943521273,0.11529517411168769,0.055120035487467633,-0.007672183748839042,-0.010628183923073102,-0.002871344339136188,-0.0003848027916972841,-2.8019671293608236e-05,-1.1634023942561882e-06,-3.030319388682164e-08,-5.664911836884834e-10,-8.922818794311442e-12,-1.4148559456638482e-13,-2.7269082900310467e-15,-7.684193289369624e-17,-3.5139520889080994e-18,-1.0650907617873814e-19,4.912723776588955e-20,-4.528851076248111e-18,-1.5965205172880895e-16,-7.333850693726333e-15,-4.3357122967020594e-13,-2.803198811111567e-11,-1.660714127200505e-09,-7.664360942091248e-08,objects
