tick,neuron_0,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,norm_z,lambda1,omega
30,-0.23808320824002505,-0.23241732579935093,-0.2247863202397004,-0.24591718836965396,-0.2259079060124435,-0.25047507848500095,-0.21052838312241343,-0.20518235659058726,-0.09478899813047646,0.3879347893225116,1.2843969861457487,1.623587577290649,1.718191695168906,1.7436407843430564,1.7429745815866287,1.6899846394714595,1.609279821734566,1.2139821228025183,0.2938392317372043,-0.09749094352061428,-0.20516233775294843,-0.23882719986427253,-0.2213561649675264,-0.22756057093111876,-0.25654400901975216,-0.2045489832928531,-0.22575633152238653,-0.27227835496679426,-0.24829397239230483,-0.25645043350505903,4.633900132759719,-0.0016691232332863848,
31,-0.27341764084063747,-0.19502481180660824,-0.2087859515015282,-0.20910974712056815,-0.23815776803163666,-0.18752003256041197,-0.1492578778762628,0.3607626317750187,1.2420747623809811,1.6066515101146948,1.668893576847072,1.7380929976733217,1.733067868610727,1.732676580653245,1.6458007949066888,1.221269888783165,0.386233586020999,-0.09714589616012255,-0.20293369971246789,-0.2413246384731289,-0.24050141610011658,-0.20790936687877826,-0.23425660295282072,-0.2093529513243556,-0.2238492259423764,-0.21256008029948698,-0.21649846004255127,-0.22955746984241845,-0.24422989754277508,-0.2609487585202597,4.621788811614841,0.018492228255344023,
32,-0.25515966886981456,-0.2148716371257789,-0.14863794961146468,-0.04542190678507178,0.5601106384057476,1.3768539040319752,1.6915484979505235,1.7260402116987308,1.734002287246597,1.713615100167885,1.7064307492351833,1.5804704330104482,1.084827855799532,0.23517262654038557,-0.15866598967057566,-0.23501124050121522,-0.23563737704212015,-0.24426951698401625,-0.20485482982232875,-0.2692762145815001,-0.27973446543617364,-0.2201119757308862,-0.23776712567780012,-0.22752942834316614,-0.23947994653367727,-0.23163184067546919,-0.2558362971335318,-0.24623805840914562,-0.26183187434695854,-0.23571675881623635,4.655846805347453,-0.00067521737863252,
33,-0.2527587541346985,-0.21281860358904273,-0.18971770039089317,0.0014908224859493321,0.8023924943754804,1.4793158880872483,1.65895771965374,1.7226423084491664,1.7718334257235149,1.7408786499571638,1.6920446133013616,1.5414651109199318,0.9296016432488323,0.07968551495890412,-0.19006463015044192,-0.21291897161895362,-0.23757085788806348,-0.25958314414725037,-0.2212081114641237,-0.25631378435808744,-0.24272371202427961,-0.2348280485030686,-0.2443353974784212,-0.21580983196255085,-0.24629858550261038,-0.23673387547379462,-0.2690314779844216,-0.2551632762946547,-0.24578787844155084,-0.24202603320722008,4.678689594564045,-0.0023705190789733432,
34,-0.22295750803745412,-0.23807406636078587,-0.26574851456836046,-0.1315729041567735,0.2961407281093282,1.1776108679433743,1.6463801543542957,1.6960841579775128,1.7028317378384257,1.7595287392308232,1.7163937751431508,1.6534651396965165,1.2770754162285871,0.438852652435382,-0.07876449579576261,-0.2294042030204578,-0.24253796167091868,-0.2253019281665618,-0.2494446844818594,-0.23793038853124235,-0.2564554689753824,-0.22747395982627894,-0.2276624347555067,-0.2767569155716978,-0.24759667956586912,-0.21548541488015494,-0.2286530871448058,-0.20681156840345893,-0.2603648934517358,-0.2399903308532446,4.64935136991426,-0.005191220095125071,
35,-0.22937025395936148,-0.27634689730813156,-0.2429458851995163,-0.1363958905792441,0.03427921363916862,0.7981263112825421,1.4900873122268556,1.6745266359004087,1.7769233758785792,1.7527714811190922,1.721345724976232,1.71210254942146,1.4942997492633716,0.7742635811879625,0.060057180166429774,-0.1966516586815589,-0.2528853603607861,-0.23208116652850966,-0.24551752055534629,-0.2217998078695678,-0.2310238175894202,-0.21949437088251908,-0.23795996602783334,-0.23276526775374679,-0.25399051813107465,-0.250116396436937,-0.2670707577815746,-0.18831477747385075,-0.21994148135754965,-0.2541647639274704,4.653422853965023,-0.00293597953119884,
36,-0.26504471858287815,-0.2491637625188595,-0.21835796200131616,-0.2142268781864632,-0.20845684041039084,0.04734488029524073,0.8916755691373376,1.4667468591127268,1.692246397698322,1.7253825676581565,1.749319794413026,1.7271084138964732,1.6924775613655663,1.4691706613609552,0.7475929221535959,-0.008377531327278082,-0.17988502781624596,-0.2396827440642371,-0.24359146325665545,-0.1884400367098661,-0.2202643660525504,-0.2345473025928564,-0.2500494667192974,-0.2636683586408898,-0.24590300027564985,-0.21736764585151597,-0.2455515492423927,-0.2166195463081098,-0.22401697414888352,-0.24339705520469568,4.629059951836518,0.0007030834392377505,
37,-0.25099212086299444,-0.20753971153690753,-0.2435881356957051,-0.16828110676353317,-0.2214290814841291,-0.16506520240957417,0.048195574819290786,0.8136759005771905,1.4777497907471144,1.6743707672657553,1.7200338630989904,1.756398244356434,1.7578424951047724,1.6883295286021516,1.5143456638823447,0.7885940229213106,0.028174299949154463,-0.19244392429867618,-0.24744331838352995,-0.2637533541131203,-0.25609796774480065,-0.2650387057007017,-0.21241604286029334,-0.26999974352711087,-0.23627297869048794,-0.21912862795856108,-0.26337550584315916,-0.2683590375884624,-0.21153747883083662,-0.2180096114989554,4.645500176289279,0.0008893989857087226,
38,-0.20306650676417062,-0.2414211755295179,-0.22780590789382857,-0.23748861266078838,-0.2565858174405424,-0.21934296039539397,-0.13504912845346065,0.34993357363040944,1.2770125163090469,1.6253281066273997,1.7085457169352656,1.6988242186464608,1.7470964009300423,1.7408986160138276,1.643853300680268,1.2311255714612437,0.3313034650792356,-0.13928929878155788,-0.22935099779347365,-0.23754963579328592,-0.26659181180598757,-0.2367206897870967,-0.2657465732869758,-0.24486459228978524,-0.24997538093407654,-0.23229928947019632,-0.21248651930022966,-0.24472851868547854,-0.2321837331807872,-0.2456791555886496,4.655392785187698,-0.010690264022820029,
39,-0.25219958915556107,-0.25194604232017287,-0.2136798345213385,-0.23770677950824734,-0.19446074602719066,-0.23752628460631042,-0.22138552212198176,0.0045353114074405815,0.7450299963234538,1.4925354194982061,1.664092070097594,1.755207289412701,1.6720698718025588,1.723083418863512,1.7028068697021488,1.499376600001318,0.9133739781680884,0.047797857528422506,-0.1830621407813113,-0.2212609511625512,-0.22359235554264303,-0.23428038384776037,-0.26438244185433823,-0.23528721554409335,-0.24585241552511927,-0.24668497451847674,-0.2322633757570863,-0.270710824862103,-0.22845994948992954,-0.2590773768915525,4.629762357195648,0.0004549102424833418,
40,-0.25574378289420835,-0.191135939268607,-0.23438570998419392,-0.22845179810112723,-0.2473979938134406,-0.24236145826371874,-0.20148525463422726,-0.1646359974834836,0.1127249692499836,0.964288575293849,1.5788460096248398,1.7120648166844659,1.7651500620410536,1.7424328631747021,1.7467442381503686,1.6483545275912734,1.4436881002587911,0.6587249393464969,-0.05578437732518843,-0.1594400019570067,-0.2125983778629209,-0.24550595357335808,-0.24207550970522368,-0.2304064573980366,-0.2382299710149663,-0.23157130747805632,-0.2694164656012735,-0.21125824498580437,-0.2584074766107796,-0.2559192066730139,4.669787465097242,-0.008366335331102204,
41,-0.21814761317098255,-0.24057599083702202,-0.2615406964767371,-0.20284724629141324,-0.2566385565473993,-0.23385334885469633,-0.25046661527209085,-0.21103543507925843,-0.09027408580974297,0.33145110026184765,1.2051172564611452,1.5951684895075968,1.6871893009823256,1.7237602207903766,1.6821194548625749,1.7003842821956907,1.6456390742798823,1.2387516290878198,0.32996660379652093,-0.12794357490435876,-0.2061761499514416,-0.2170702214957186,-0.2601828970564226,-0.20770272204584153,-0.24797508561568601,-0.2291611162670179,-0.20596435330791915,-0.2515985377693207,-0.23429361071483454,-0.23072574656185907,4.581779904870278,-0.0010326696267096702,
42,-0.19356007397892844,-0.23104186086944564,-0.21605108744321838,-0.254812998200815,-0.2580976576287835,-0.24960637363379276,-0.23537479392413074,-0.22027165230631524,-0.201130895266685,-0.14092709134433817,0.3723468267491953,1.2376964577978231,1.6536167910959494,1.6826031740397667,1.7261612618023805,1.7561828438633191,1.7368277968634018,1.6359260111951763,1.2104502174420804,0.34402146265552863,-0.12736465921346424,-0.2157326157336165,-0.21167270488420067,-0.26359770997434134,-0.26311373959093315,-0.1996376333085968,-0.21564108441747395,-0.21778982349174436,-0.2269225670292838,-0.24961501936843664,4.643898085124133,-0.010502331618411964,
