tick,perception_0,perception_1,perception_2,perception_3,perception_4,perception_5,perception_6,perception_7,perception_8,perception_9,perception_10,perception_11,perception_12,perception_13,perception_14,perception_15,perception_16,perception_17,perception_18,perception_19,perception_20,perception_21,perception_22,perception_23,perception_24,perception_25,perception_26,perception_27,perception_28,perception_29,channel
10,-10.222005199154818,-36.9067058573667,-63.9764635245341,-78.79783758322984,-97.16854071914003,-98.23847788271655,-79.45600600313918,-63.30935984261551,-35.027256734337826,-8.994981538334201,-1.0485112004455472,-0.22915461479154783,-0.20034642975075895,-0.20000140460201854,-0.20000000193002576,-0.20000000000089524,-0.20000000000000015,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000034,-0.2000000000019345,-0.20000000373602828,-0.2000024365091676,-0.20053884776646205,-0.24070809153835404,-1.2663229095625135,objects
11,-1.7386631859381254,-12.718282936796172,-40.787110018632845,-65.61896521261272,-79.12726011711621,-96.68959004449772,-96.9580850064636,-78.42928050961386,-61.64518638080858,-32.25776782514291,-7.5853472436588865,-0.83846639058675,-0.21951439798172045,-0.2002056726852532,-0.20000073870572288,-0.20000000089853828,-0.2000000000003688,-0.20000000000000007,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000126,-0.2000000000061066,-0.20000001006380055,-0.2000056032456122,-0.20105874946988506,-0.2684351801171757,objects
12,-0.3085311695257409,-2.316175131629881,-15.273813534266946,-44.09443716616967,-66.98036881235812,-79.61524181744453,-95.83708390894687,-95.69024156115066,-78.02162652216522,-60.08552650193763,-29.458311464352125,-6.315000482871314,-0.672005954852353,-0.21279344048256876,-0.20011923942366472,-0.20000037825944078,-0.20000000040611227,-0.2000000000001471,-0.20000000000000004,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000415,-0.2000000000174789,-0.20000002482381693,-0.20001191626901624,-0.20194288664547047,objects
13,-0.20335505760752226,-0.363507743873277,-2.9920185102649204,-17.80190511440848,-46.873939199238535,-68.27309153879146,-80.4046560498765,-94.7869064328097,-94.30649918030772,-78.0761522155722,-58.509613910258324,-26.577350973857577,-5.1654888928061915,-0.5405133781165887,-0.20814832748865103,-0.20006686545553018,-0.20000018652258178,-0.20000000017598224,-0.200000000000056,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2000000000000125,-0.20000000004578575,-0.20000005655930733,-0.20002362609187047,objects
14,-0.20004423478145594,-0.20551388194769318,-0.4363154196975874,-3.7636404360707965,-20.2729307930631,-49.259430656821905,-69.66120969975869,-81.57555587972064,-93.80857774224357,-92.79931769032457,-78.29709350140313,-56.68707612091069,-23.55294172210429,-4.121401262743477,-0.4371758297231396,-0.2049779949721822,-0.20003573413702547,-0.2000000870866849,-0.20000000007173663,-0.20000000000001994,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2000000000000347,-0.20000000011151564,-0.20000012075360374,objects
15,-0.20000024406847686,-0.2000789307430377,-0.20869439490281355,-0.5299723383436972,-4.627147346705505,-22.671908322009205,-51.37726768018795,-71.2374250917261,-83.09891622449886,-93.05980052999571,-91.32557611871263,-78.42021021272976,-54.37119840313684,-20.400691994491012,-3.1931340241208286,-0.3583044117589477,-0.2028920553950757,-0.2000180261853638,-0.20000003809633948,-0.2000000000271947,-0.20000000000000656,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000009008,-0.2000000002554123,objects
16,-0.20000000056085915,-0.20000047506365387,-0.20013622611082077,-0.21331908035040054,-0.6497227688073266,-5.596901636454647,-25.053015555668665,-53.40701339414299,-73.07377971665946,-84.90915001878831,-92.6316840153031,-90.09145998536674,-78.16511989597602,-51.25774881370852,-17.143832574369846,-2.3885832069107065,-0.3001777326253179,-0.20157815273944638,-0.20000846468152253,-0.20000001537577058,-0.2000000000094273,-0.20000000000000195,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000004,-0.20000000000022317,objects
17,-0.2000000000005375,-0.2000000012003373,-0.200000903319636,-0.2002302113252071,-0.22002566674092366,-0.8031680408049919,-6.696587929376089,-27.483074634809178,-55.50335942914627,-75.20871461530844,-86.91236008805826,-92.51162793692787,-89.23808593588743,-77.29058804286281,-47.155067199508224,-13.878626254971323,-1.721309808120006,-0.2595959601644643,-0.2008012757385313,-0.2000036620592126,-0.20000000566235238,-0.2000000000029534,-0.20000000000000054,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2000000000000001,objects
18,-0.20000000000000023,-0.200000000001283,-0.20000000254572006,-0.2000017021195721,-0.20038553497166386,-0.22984164013718586,-1.0021449636052366,-7.965448615112664,-30.048276524762056,-57.80829070007125,-77.65718305927155,-89.01332110745994,-92.66453846699655,-88.76774515972745,-75.50973531366303,-42.035280206420886,-10.749585382134637,-1.1979917774086204,-0.2330794633872282,-0.20037551584439803,-0.20000144728450894,-0.20000000188569997,-0.20000000000082838,-0.20000000000000012,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,objects
19,-0.2,-0.2000000000000006,-0.2000000000030817,-0.20000000542159463,-0.2000032141604499,-0.2006457808042437,-0.24439824462780213,-1.2636024214453345,-9.452758490106095,-32.831460434715474,-60.43150379936977,-80.40631477524104,-91.13125298030582,-93.06897464357836,-88.52039089175697,-72.50017483189339,-36.077585924648524,-7.9228487532682905,-0.8141196631560965,-0.21703212934213376,-0.2001615065259314,-0.2000005195074774,-0.20000000056460915,-0.20000000000020682,-0.20000000000000004,-0.2,-0.2,-0.2,-0.2,-0.2,objects
20,-0.2,-0.2,-0.20000000000000165,-0.20000000000759213,-0.20000001178577248,-0.20000616620718906,-0.20109396883180344,-0.26651810878023213,-1.6148325665019239,-11.23494220093568,-35.940267119547826,-63.46973030025077,-83.4073283886455,-93.19733711216024,-93.70453722405028,-88.14375588647474,-67.96479968042703,-29.639669570440738,-5.537445230832065,-0.5528037067559434,-0.20810100606804277,-0.20006351294096836,-0.2000001688107707,-0.2000000001515411,-0.20000000000004584,-0.2,-0.2,-0.2,-0.2,-0.2,objects
